Sec,N,mm/mm,mm,segments
485.71436,47303.965,0.00452562,1.50343,194
485.71533,47384.547,0.00452562,1.5077012,194
485.71631,47441.254,0.004535859,1.5077012,194
485.71729,47515.867,0.00452562,1.5119723,194
485.71826,47581.523,0.0045665759,1.5119723,194
485.71924,47659.117,0.0045665759,1.5162433,194
485.72021,47712.84,0.0045768148,1.5162433,194
485.72119,47790.438,0.0045972927,1.5162433,194
485.72217,47847.141,0.0045972927,1.5162433,194
485.72314,47927.723,0.0046075317,1.5162433,194
485.72412,47990.398,0.0046280096,1.5205145,194
485.7251,48062.023,0.0046382486,1.5162433,194
485.72607,48124.699,0.0046382486,1.5205145,194
485.72705,48190.355,0.0046587265,1.5205145,194
485.72803,48253.031,0.0046689655,1.5247856,194
485.729,48324.656,0.0046792044,1.5205145,194
485.72998,48396.285,0.0047099213,1.5205145,194
485.73096,48458.961,0.0046996824,1.5247856,194
485.73193,48530.586,0.0046996824,1.5290567,194
485.73291,48593.262,0.0047201603,1.5333278,194
485.73389,48661.902,0.0047303992,1.5333278,194
485.73486,48721.598,0.0047303992,1.5333278,194
485.73584,48790.238,0.0047611161,1.5333278,194
485.73682,48852.914,0.0047611161,1.5333278,194
485.73779,48930.508,0.004781594,1.537599,194
485.73877,48987.215,0.004781594,1.5333278,194
485.73975,49055.855,0.004791833,1.5333278,194
485.74072,49112.559,0.004781594,1.5333278,194
485.7417,49187.172,0.0048225499,1.537599,194
485.74268,49252.832,0.0048327888,1.5461411,194
485.74365,49321.477,0.0048327888,1.54187,194
485.74463,49381.164,0.0048327888,1.54187,194
485.74561,49458.758,0.0048635057,1.54187,194
485.74658,49515.465,0.0048737447,1.54187,194
485.74756,49587.094,0.0048839836,1.5461411,194
485.74854,49643.797,0.0048942226,1.5461411,194
485.74951,49718.41,0.0049044616,1.5504123,194
485.75049,49772.129,0.0049147005,1.5504123,194
485.75146,49843.758,0.0049454174,1.5504123,194
485.75244,49900.465,0.0049454174,1.5546833,194
485.75342,49975.074,0.0049556564,1.5504123,194
485.75439,50031.781,0.0049863732,1.5546833,194
485.75537,50100.422,0.0049761343,1.5546833,194
485.75635,50154.145,0.0049966122,1.5589545,194
485.75732,50225.773,0.0050170901,1.5632256,194
485.7583,50282.473,0.0050068512,1.5589545,194
485.75928,50351.121,0.005037568,1.5589545,194
485.76025,50407.824,0.005037568,1.5589545,194
485.76123,50470.496,0.005047807,1.5632256,194
485.76221,50527.203,0.0050682849,1.5674967,194
485.76318,50592.859,0.0050785239,1.5632256,194
485.76416,50649.566,0.0050887628,1.5632256,194
485.76514,50715.227,0.0050990018,1.5717678,194
485.76611,50777.902,0.0051194797,1.5674967,194
485.76709,50834.605,0.0050990018,1.5674967,194
485.76807,50894.293,0.0051194797,1.5674967,194
485.76904,50951,0.0051399576,1.5717678,194
485.77002,51016.66,0.0051501966,1.5717678,194
485.771,51076.348,0.0051604356,1.5674967,194
485.77197,51136.035,0.0051604356,1.576039,194
485.77295,51192.742,0.0051706745,1.5717678,194
485.77393,51264.371,0.0051809135,1.5717678,194
485.7749,51318.09,0.0051911524,1.576039,194
485.77588,51383.746,0.0052218693,1.576039,194
485.77686,51440.453,0.0052218693,1.58031,194
485.77783,51503.129,0.0052321083,1.576039,194
485.77881,51562.816,0.0052321083,1.5845811,194
485.77979,51631.457,0.0052525862,1.5845811,194
485.78076,51685.18,0.0052525862,1.5845811,194
485.78174,51750.84,0.0052628252,1.5845811,194
485.78271,51804.559,0.0052935421,1.5845811,194
485.78369,51879.172,0.005303781,1.5845811,194
485.78467,51923.938,0.005303781,1.5888523,194
485.78564,51995.566,0.0053242589,1.5888523,194
485.78662,52046.305,0.0053344979,1.5888523,194
485.7876,52105.992,0.0053447369,1.5888523,194
485.78857,52159.715,0.0053447369,1.5931233,194
485.78955,52225.371,0.0053549758,1.5931233,194
485.79053,52285.063,0.0053754537,1.5973945,194
