strain,stress_MPa
0.0049147005,416.79326773734795
0.0049454174,417.3587142954101
0.0049454174,417.806365078864
0.0049556564,418.39533605780355
0.0049863732,418.8429868412576
0.0049761343,419.3848458256345
0.0049966122,419.8089406118073
0.0050170901,420.37437927576843
0.0050068512,420.82197480051565
0.005037568,421.36388904359944
0.005037568,421.8115082506496
0.005047807,422.30624734636314
0.0050682849,422.7538981298172
0.0050785239,423.27219322281195
0.0050887628,423.719844006266
0.0050990018,424.2381785697656
0.0051194797,424.7329413477821
0.0050990018,425.18056055483225
0.0051194797,425.65174365326453
0.0051399576,426.09939443671857
0.0051501966,426.61772110611724
0.0051604356,427.0889042045496
0.0051604356,427.560079408881
0.0051706745,428.007730192335
0.0051809135,428.57317675039707
0.0051911524,428.9972399601659
0.0052218693,429.51553505316076
0.0052218693,429.9631858366148
0.0052321083,430.45795650873225
0.0052321083,430.9291317130636
0.0052525862,431.47099069744064
0.0052525862,431.8950854836134
0.0052628252,432.413412153012
0.0052935421,432.837475362781
0.005303781,433.42647791812425
0.005303781,433.7798652419485
0.0053242589,434.34530390590965
0.0053344979,434.74584269480124
0.0053447369,435.2170178991326
0.0053447369,435.64111268530536
0.0053549758,436.15940777830014
0.0053754537,436.63062245313637
0.0053959317,437.07824166018656
0.0054061706,437.5258924436405
0.0054061706,437.9735116506907
0.0054266485,438.4211308577408
0.0054368875,438.86878164119486
0.0054573654,439.2928764273676
0.0054778433,439.764051631699
0.0054573654,440.2823467246938
0.0054778433,440.68288551358535
0.0054880823,441.13050472063543
0.0054983213,441.55459161270727
0.0055085602,442.0022423961613
0.0055290381,442.402749608649
0.0055187992,442.89748870436256
0.0055290381,443.2980195991531
0.0055495161,443.7692263798883
0.005559755,444.169733592376
0.0055904719,444.7115846826521
0.0055802329,445.0650035828802
0.0055802329,445.55974267859375
0.0055904719,445.9131536847209
0.0056211888,446.4314803541196
0.0056314277,446.80842367522513
0.0056314277,447.2796067736574
0.0056314277,447.72725755711144
0.0056519057,448.1749083405654
0.0056519057,448.5518200852671
0.0056723836,449.0701467546657
0.0057031005,449.4470900757712
0.0057031005,449.89474085922524
0.0057133394,450.29524807171293
0.0057338174,450.7193349637847
0.0057440563,451.14339817355363
0.0057440563,451.5674929597264
0.0057440563,452.01514374318043
0.0057747732,452.41564306156715
0.0057747732,452.8397378477399
0.0057850122,453.2166811688454
0.0058054901,453.64076806091725
0.005815729,453.9941238083376
0.005836207,454.48889448045503
0.005825968,454.88942537524565
0.0058464459,455.28993258773335
0.0058566849,455.6197560201754
0.0058566849,456.04385080634813
0.0058669238,456.44435012473485
0.0058669238,456.8920009081889
0.0059078797,457.2453882320131
0.0058976407,457.69303901546715
0.0059181186,458.0228624479092
0.0059283576,458.49406922864443
0.0059181186,458.82390055518744
0.0059590745,459.2715513386414
0.0059385966,459.6249307683648
0.0059693134,460.09611386679705
0.0059693134,460.4495248729242
0.0059693134,460.89717565637824
0.0059795524,461.2034115151352
0.0059897914,461.6746577663753
0.0060102693,462.0280371960986
0.0060205082,462.4285444085863
